country,G-20,G-20,G-20,G-20,G-20,G-20,G-20
subject,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE
measure,CPCARSA,DOBSA,GCUMSA,GPSA,GYSA,VIXOBSA,VPVOBARSA
unit,US Dollar,Index,Percentage,Percentage,Percentage,Index,US Dollar
powercode,Millions,Units,Units,Units,Units,Units,Millions
reference_period,,2015,,,,2015,2015
time,,,,,,,
1997-Q1,33673722.8,,,,,,
1997-Q2,34107291.8,,,,,,
1997-Q3,34588691.8,,,,,,
1997-Q4,35020897.8,,,,,,
1998-Q1,35027787.2,71.690468513,-52.384846451,,,54.76597266,48859755.0
1998-Q2,35225879.5,71.829589252,-52.208312321,0.37075,,54.969018595,49040903.5
1998-Q3,35561942.4,72.042352328,-51.89485872,0.65587,,55.329546495,49362550.4
1998-Q4,35959867.0,72.267405779,-51.508064818,0.80406,,55.774428905,49759454.6
1999-Q1,36433164.0,72.49611306,-51.024816603,0.99655,2.8563,56.330251087,50255334.3
1999-Q2,36896150.6,72.75777975,-50.580821115,0.90657,3.40539,56.840925588,50710935.3
1999-Q3,37455339.8,73.011001081,-50.0058323,1.16349,3.92687,57.502265926,51300953.6
1999-Q4,38167871.0,73.381235895,-49.311805935,1.38821,4.52912,58.30052081,52013121.0
2000-Q1,38937596.8,73.910972158,-48.660204531,1.28551,4.82818,59.049979376,52681754.4
2000-Q2,39674005.0,74.380270815,-48.019291668,1.24837,5.18327,59.787144201,53339420.0
2000-Q3,40231893.2,74.851497453,-47.620194555,0.76778,4.77183,60.246177511,53748949.0
2000-Q4,40771261.3,75.282404708,-47.221800752,0.76059,4.12326,60.70440189,54157756.3
2001-Q1,41235230.4,75.795608855,-46.982617318,0.45319,3.26762,60.979505768,54403191.7
2001-Q2,41700344.7,76.3130113,-46.74811834,0.44231,2.44547,61.249221682,54643820.2
2001-Q3,41983889.6,76.691969362,-46.65095056,0.18247,1.85042,61.360982068,54743527.8
2001-Q4,42350380.0,77.045277545,-46.432029529,0.41036,1.4964,61.612780547,54968171.2
2002-Q1,42917023.9,77.46457872,-46.009128286,0.78947,1.83617,62.099192879,55402126.5
2002-Q2,43544348.7,77.840989702,-45.484832069,0.97108,2.37228,62.70222763,55940127.2
2002-Q3,44138754.2,78.263900011,-45.039270266,0.81732,3.02101,63.214703674,56397335.4
2002-Q4,44664757.2,78.722624564,-44.708379671,0.60205,3.21769,63.595287247,56736875.1
2003-Q1,45151656.2,79.057321029,-44.342269114,0.66214,3.0873,64.016380098,57112555.3
2003-Q2,45643828.8,79.311759767,-43.91607676,0.76574,2.87765,64.506577799,57549887.8
2003-Q3,46540053.8,79.773468751,-43.145831926,1.37338,3.44507,65.392497604,58340265.9
2003-Q4,47468516.0,80.236773148,-42.346443241,1.40603,4.27178,66.311938068,59160549.6
2004-Q1,48284357.9,80.845682635,-41.797246261,0.95258,4.57263,66.943613167,59724102.0
2004-Q2,49225486.3,81.475764279,-41.121670848,1.16073,4.98254,67.720646146,60417336.1
2004-Q3,49999560.6,81.9124061,-40.51459685,1.03107,4.62804,68.418890202,61040278.2
2004-Q4,50833960.2,82.448228728,-39.914937188,1.00808,4.21744,69.108606442,61655612.3
2005-Q1,51700171.3,82.889594777,-39.216476666,1.16245,4.4341,69.911961403,62372329.7
2005-Q2,52643331.4,83.465702223,-38.534811494,1.12146,4.39357,70.695998698,63071812.8
2005-Q3,53793534.3,84.307596096,-37.819060882,1.16448,4.53142,71.519240367,63806272.2
2005-Q4,55057925.5,85.223019208,-37.041143349,1.25105,4.78288,72.413985152,64604523.5
2006-Q1,56506573.3,86.2375797,-36.14479303,1.42371,5.05348,73.444948897,65524303.3
2006-Q2,57799321.5,87.24782912,-35.440223961,1.10339,5.0347,74.255329785,66247289.0
2006-Q3,58903756.0,87.968310659,-34.745473774,1.07613,4.94297,75.054417195,66960199.1
2006-Q4,59910169.6,88.234090812,-33.830471654,1.4022,5.09963,76.10683386,67899118.2
2007-Q1,61202497.0,88.901853384,-32.910859099,1.38978,5.06448,77.164553352,68842768.3
2007-Q2,62422355.0,89.509390433,-32.038109005,1.30088,5.26971,78.168372603,69738331.0
2007-Q3,63523230.7,90.119365492,-31.307652698,1.0748,5.26833,79.008528461,70487880.6
2007-Q4,64917394.6,90.843334485,-30.359493791,1.3803,5.24558,80.099081381,71460823.2
2008-Q1,65935756.4,91.61069353,-29.859521133,0.71793,4.54818,80.674139675,71973864.5
2008-Q2,66906008.0,92.46834156,-29.487525721,0.53036,3.75296,81.102001165,72355583.4
2008-Q3,67600825.4,93.428897492,-29.487732743,-0.00029,2.64938,81.101763052,72355371.0
2008-Q4,66878953.3,93.734809583,-30.468360382,-1.39072,-0.15633,79.973865262,71349110.9
2009-Q1,65849536.2,93.764649775,-31.560395776,-1.57056,-2.42495,78.717828558,70228531.1
2009-Q2,66413939.1,93.625223901,-30.870999903,1.00731,-1.96203,79.510757547,70935946.9
2009-Q3,67300151.4,93.701929211,-30.005903309,1.25142,-0.73487,80.505773899,71823656.1
2009-Q4,68385312.3,93.92846671,-29.048838976,1.36735,2.04155,81.606569658,72805736.9
2010-Q1,69519103.0,94.30109152,-28.157515239,1.25625,4.97209,82.631751933,73720358.7
2010-Q2,70857845.2,94.745133039,-27.117218973,1.44802,5.43011,83.828279353,74787847.1
2010-Q3,71963598.8,95.00289222,-26.180695088,1.28497,5.46504,84.905449911,75748850.5
2010-Q4,73317123.9,95.720539824,-25.356123548,1.11701,5.20459,85.853855177,76594975.3
2011-Q1,74400961.8,96.270301672,-24.685235643,0.89878,4.83318,86.625496681,77283399.4
2011-Q2,75575330.2,96.966157076,-24.045453754,0.84948,4.21467,87.361360683,77939904.4
2011-Q3,76692130.5,97.570144066,-23.400177939,0.84956,3.76665,88.103543686,78602047.0
2011-Q4,77427943.5,97.682052462,-22.753848223,0.84377,3.48625,88.846938864,79265270.9
2012-Q1,78504457.0,98.251966225,-22.134160855,0.80222,3.38722,89.559690559,79901156.2
2012-Q2,79298280.2,98.606813471,-21.629837216,0.64768,3.18034,90.139753262,80418662.2
2012-Q3,80305699.0,99.098558348,-21.028036792,0.76789,3.0968,90.831931762,81036193.0
2012-Q4,81134849.9,99.627693752,-20.636417314,0.4959,2.74115,91.28236445,81438048.9
2013-Q1,82215895.1,100.054414334,-19.921959095,0.90023,2.84104,92.104119635,82171182.2
2013-Q2,83113620.1,100.232159997,-19.191133697,0.91264,3.11178,92.944700013,82921110.4
2013-Q3,84211418.7,100.476369814,-18.322779027,1.07458,3.42559,93.943463738,83812162.8
2013-Q4,85180246.4,100.790040392,-17.640220078,0.83568,3.77528,94.728529036,84512563.0
2014-Q1,85827518.7,100.849198028,-17.063059005,0.70078,3.57014,95.39236786,85104810.4
2014-Q2,86634154.5,100.975229751,-16.388080086,0.81385,3.46875,96.168714764,85797432.4
2014-Q3,87417596.5,100.900228006,-15.56925557,0.97932,3.37123,97.110509922,86637660.0
2014-Q4,87782026.0,100.488804267,-14.87015827,0.82801,3.36337,97.914597293,87355030.8
2015-Q1,88103891.5,99.917233491,-14.069251374,0.94081,3.60974,98.835783971,88176872.4
2015-Q2,88925645.9,100.03429909,-13.369264897,0.81459,3.61051,99.640894056,88895155.7
2015-Q3,89662516.9,100.065270531,-12.678445905,0.79743,3.42388,100.435459886,89604031.9
2015-Q4,90153423.1,99.957080299,-12.105325146,0.65633,3.24778,101.094651624,90192133.3
2016-Q1,90996071.9,100.030831061,-11.349197217,0.86027,3.1654,101.964334454,90968025.5
2016-Q2,92365032.9,100.780857423,-10.685196961,0.74901,3.09829,102.728053924,91649381.9
2016-Q3,93307609.7,101.037194739,-10.002656737,0.7642,3.06429,103.513097686,92349762.9
2016-Q4,94635261.5,101.406987268,-9.054961551,1.05303,3.47048,104.603117245,93322229.6
2017-Q1,95764958.6,101.764086749,-8.292260162,0.83864,3.44829,105.480360733,94104867.1
2017-Q2,96890556.1,101.90187257,-7.339809602,1.03857,3.74561,106.575849826,95082213.5
2017-Q3,98317262.3,102.333038876,-6.371555042,1.04495,4.03468,107.689516354,96075777.1
2017-Q4,99996940.5,103.026968882,-5.4133826,1.02338,4.00415,108.791586637,97058995.0
2018-Q1,101671473.9,103.776394798,-4.523949658,0.94034,4.10904,109.814594159,97971676.6
2018-Q2,103437027.8,104.731013989,-3.751353918,0.8092,3.8727,110.703217927,98764467.0
2018-Q3,104528692.5,105.100313431,-3.077320577,0.7003,3.51841,111.478477246,99456118.8
2018-Q4,105710560.4,105.638994735,-2.481273809,0.61497,3.09992,112.164038009,100067745.5
2019-Q1,106958267.9,106.052213489,-1.714708854,0.78607,2.94235,113.045725292,100854347.5
2019-Q2,108671363.1,106.766184469,-0.808308389,0.92221,3.05775,114.088248509,101784440.1
2019-Q3,109740959.1,107.254662734,-0.288218735,0.52433,2.87766,114.686444959,102318124.3
2019-Q4,110664927.5,107.845966868,0.0,0.28905,2.54441,115.017948234,102613876.7
2020-Q1,107778665.1,108.46422231,-3.163251609,-3.16325,-1.47381,111.379641136,99367941.6
2020-Q2,100618166.0,107.97557818,-9.187681542,-6.22122,-8.44766,104.450465435,93186040.5
2020-Q3,109436346.1,108.827276538,-2.001883706,7.9128,-1.71862,112.715422669,100559666.2
