country,G-20,G-20,G-20,G-20,G-20,G-20
subject,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE
measure,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA
unit,US Dollar,Index,Percentage,Percentage,Index,US Dollar
powercode,Millions,Units,Units,Units,Units,Millions
reference_period,,2015,,,2015,2015
time,,,,,,
1997-Q1,33659937.2,,,,,
1997-Q2,34110971.7,,,,,
1997-Q3,34585584.5,,,,,
1997-Q4,35003671.4,,,,,
1998-Q1,35033633.5,71.7,,,54.8,48871491.7
1998-Q2,35216741.6,71.8,0.37364,,55.0,49054093.3
1998-Q3,35559042.7,72.0,0.67471,,55.4,49385064.7
1998-Q4,35952367.5,72.2,0.797,,55.8,49778663.4
1999-Q1,36417146.2,72.4,0.97923,2.85364,56.4,50266108.6
1999-Q2,36888574.4,72.7,0.91631,3.40973,56.9,50726703.5
1999-Q3,37456825.2,73.0,1.16935,3.91781,57.5,51319878.1
1999-Q4,38173091.4,73.4,1.39098,4.53018,58.3,52033728.3
2000-Q1,38957969.8,73.9,1.267,4.82808,59.1,52692995.8
2000-Q2,39678724.9,74.4,1.24564,5.17017,59.8,53349359.0
2000-Q3,40214812.3,74.8,0.76057,4.74522,60.3,53755119.0
2000-Q4,40733939.3,75.2,0.76197,4.0954,60.7,54164715.9
2001-Q1,41196094.8,75.7,0.45039,3.25597,61.0,54408665.7
2001-Q2,41693387.2,76.3,0.44841,2.44292,61.3,54652640.0
2001-Q3,41977435.7,76.7,0.18794,1.86072,61.4,54755352.7
2001-Q4,42349549.9,77.0,0.41443,1.5094,61.6,54982275.4
2002-Q1,42908588.7,77.4,0.78344,1.84596,62.1,55413026.4
2002-Q2,43537507.0,77.8,0.98573,2.39075,62.7,55959250.5
2002-Q3,44142408.8,78.2,0.82719,3.04407,63.3,56422141.5
2002-Q4,44662169.7,78.7,0.59036,3.2246,63.6,56755232.6
2003-Q1,45146469.6,79.0,0.65033,3.08827,64.0,57124331.1
2003-Q2,45638424.1,79.3,0.78421,2.88255,64.5,57572303.7
2003-Q3,46518521.0,79.7,1.36167,3.42792,65.4,58356250.0
2003-Q4,47443029.3,80.2,1.4024,4.26288,66.3,59174639.0
2004-Q1,48266404.0,80.8,0.96534,4.58919,67.0,59745876.8
2004-Q2,49200794.9,81.4,1.14765,4.96635,67.7,60431548.0
2004-Q3,49983487.3,81.9,1.03385,4.62687,68.4,61056316.6
2004-Q4,50826783.5,82.4,1.01556,4.22772,69.1,61676379.9
2005-Q1,51678388.4,82.8,1.14849,4.41679,69.9,62384728.0
2005-Q2,52633235.2,83.4,1.13598,4.40475,70.7,63093404.5
2005-Q3,53775497.1,84.3,1.15574,4.53071,71.6,63822600.6
2005-Q4,55030774.4,85.2,1.24762,4.77084,72.4,64618862.0
2006-Q1,56496665.5,86.2,1.48369,5.11805,73.5,65577608.2
2006-Q2,57780049.0,87.2,1.07435,5.054,74.3,66282143.0
2006-Q3,58874706.0,87.9,1.04984,4.94402,75.1,66978000.0
2006-Q4,59868735.7,88.2,1.37257,5.07353,76.1,67897317.5
2007-Q1,61223943.3,88.8,1.4962,5.08647,77.3,68913195.6
2007-Q2,62410355.6,89.4,1.25943,5.2789,78.2,69781111.0
2007-Q3,63464698.7,90.1,0.99461,5.22136,79.0,70475163.1
2007-Q4,64834485.9,90.8,1.37144,5.22019,80.1,71441686.4
2008-Q1,65911027.1,91.5,0.80796,4.5067,80.7,72018904.8
2008-Q2,66936918.2,92.4,0.5934,3.81931,81.2,72446265.9
2008-Q3,67477903.6,93.3,-0.21185,2.5791,81.0,72292790.8
2008-Q4,66821355.4,93.7,-1.32458,-0.14903,80.0,71335216.5
2009-Q1,65844478.4,93.7,-1.51695,-2.45187,78.8,70253095.7
2009-Q2,66427869.9,93.6,1.0339,-2.0247,79.6,70979445.0
2009-Q3,67271738.3,93.7,1.18958,-0.64874,80.5,71823799.5
2009-Q4,68378125.5,93.9,1.39224,2.08669,81.6,72823762.0
2010-Q1,69397461.6,94.1,1.25892,4.96413,82.7,73740551.5
2010-Q2,70701136.7,94.5,1.44273,5.38886,83.9,74804426.4
2010-Q3,71807138.7,94.8,1.28847,5.49186,84.9,75768260.9
2010-Q4,73043507.4,95.3,1.11887,5.20743,85.9,76616007.8
2011-Q1,74149896.2,95.9,0.92324,4.85866,86.7,77323354.2
2011-Q2,75277270.7,96.5,0.83892,4.23452,87.4,77972035.3
2011-Q3,76368532.4,97.1,0.82155,3.75402,88.1,78612613.7
2011-Q4,77108278.5,97.3,0.83324,3.46094,88.9,79267644.7
2012-Q1,78160545.6,97.8,0.78555,3.31979,89.6,79890328.0
2012-Q2,78965435.9,98.2,0.62591,3.10154,90.1,80390366.4
2012-Q3,79985694.5,98.7,0.75975,3.03834,90.8,81001135.8
2012-Q4,80864612.5,99.3,0.55175,2.7507,91.3,81448062.0
2013-Q1,81977586.1,99.7,0.93098,2.89897,92.2,82206325.5
2013-Q2,82894300.9,99.9,0.888,3.16699,93.0,82936317.5
2013-Q3,83971917.9,100.2,1.00181,3.41482,93.9,83767179.5
2013-Q4,84954861.4,100.5,0.87828,3.75065,94.7,84502890.6
2014-Q1,85568285.4,100.6,0.69208,3.50508,95.4,85087721.8
2014-Q2,86375208.0,100.7,0.81467,3.42985,96.2,85780904.8
2014-Q3,87181345.4,100.7,0.96371,3.39083,97.1,86607584.0
2014-Q4,87635357.3,100.3,0.84604,3.35779,97.9,87340316.2
2015-Q1,88049498.2,99.9,0.94824,3.62072,98.8,88168509.0
2015-Q2,88890654.6,100.1,0.75873,3.56323,99.6,88837472.1
2015-Q3,89673683.1,100.1,0.81031,3.40588,100.4,89557330.5
2015-Q4,90179028.1,100.0,0.66878,3.22412,101.1,90156270.9
2016-Q1,91010585.2,100.1,0.89582,3.17052,102.0,90963913.0
2016-Q2,92362571.9,100.8,0.73146,3.1426,102.7,91629276.5
2016-Q3,93263006.5,101.0,0.76513,3.09638,103.5,92330363.9
2016-Q4,94633935.9,101.4,1.03286,3.46924,104.6,93284009.3
2017-Q1,95695960.4,101.7,0.85707,3.4295,105.5,94083521.9
2017-Q2,96827706.0,101.9,1.03552,3.74171,106.6,95057775.2
2017-Q3,98266219.7,102.4,0.99268,3.97597,107.6,96001392.7
2017-Q4,100057723.2,103.2,1.00437,3.94665,108.7,96965601.0
2018-Q1,101791726.9,104.0,0.97783,4.0711,109.8,97913757.5
2018-Q2,103609902.5,104.9,0.83438,3.86392,110.7,98730732.3
2018-Q3,104597857.0,105.3,0.64151,3.50277,111.4,99364101.7
2018-Q4,105531936.5,105.6,0.58824,3.07635,112.1,99948603.0
2019-Q1,106329292.8,105.5,0.83974,2.93539,113.0,100787909.1
2019-Q2,107647935.2,105.9,0.83121,2.93216,113.9,101625671.6
2019-Q3,108736720.8,106.3,0.64235,2.93301,114.7,102278461.2
2019-Q4,109706250.7,107.0,0.24952,2.58639,114.9,102533665.4
2020-Q1,106829186.0,107.7,-3.27148,-1.59604,111.2,99179293.3
2020-Q2,99257944.5,107.4,-6.79266,-9.03638,103.6,92442386.0
2020-Q3,109117091.8,108.7,8.62233,-1.82384,112.6,100413070.0
2020-Q4,111634104.2,109.3,1.68735,-0.41575,114.5,102107384.9
2021-Q1,113624256.4,110.5,0.72022,3.6938,115.3,102842778.2
2021-Q2,115875067.4,112.1,0.48265,11.78762,115.9,103339144.8
2021-Q3,119818210.5,113.8,1.92426,4.89437,118.1,105327659.2
2021-Q4,,,1.4,4.9,,
